,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Estimate term value
26,C9_AD,9,Caul,Ambient,Respiration,0.617397513,56.232228,3.306497389,315.2266909,314.5426158,41.39261584
27,C9_AL,11,Caul,Ambient,Net Photosynthesis,0.673735553,5.639798033,5.050359192,304.0462626,301.2498148,28.09981481
28,C9_NL,12,Caul,Enriched,Net Photosynthesis,0.765099641,6.906066207,4.676396857,306.0253559,303.6099882,30.45998822
29,G10_AD,8,Grac,Ambient,Respiration,1.018801463,1.338840749,3.38148179,297.0313094,303.7578782,30.6078782
30,G10_AL,15,Grac,Ambient,Net Photosynthesis,0.124779776,5.612676034,5.003789994,306.2307511,300.8765237,27.7265237
31,G10_ND,2,Grac,Enriched,Respiration,0.182239243,52.62177343,3.572325279,315.421457,314.5013618,41.35136182
32,G10_NL,5,Grac,Enriched,Net Photosynthesis,0.713421632,5.290437556,4.875817556,302.9393082,300.1852259,27.03522594
33,G1_AD,8,Grac,Ambient,Respiration,1.176542691,1.538648937,4.119854985,295.8929692,301.7881411,28.63814111
34,G1_AL,15,Grac,Ambient,Net Photosynthesis,0.090113535,6.349170253,5.435632759,306.7170029,301.3946616,28.24466155
35,G1_ND,2,Grac,Enriched,Respiration,0.187407821,52.2269425,3.685037869,314.8846879,313.966601,40.81660096
36,G1_NL,5,Grac,Enriched,Net Photosynthesis,0.613377741,5.342370313,4.929490527,303.3367194,300.3343614,27.18436136
37,G2_AD,8,Grac,Ambient,Respiration,0.945617924,1.247112195,3.837022997,296.0579373,303.1490463,29.99904635
38,G2_AL,15,Grac,Ambient,Net Photosynthesis,0.36313844,6.852721835,4.991137532,306.9612129,303.5815513,30.43155134
39,G2_NL,5,Grac,Enriched,Net Photosynthesis,0.751189336,5.398625543,4.767524274,303.2136982,300.5618201,27.4118201
40,G3_AD,8,Grac,Ambient,Respiration,1.218384555,1.482679647,4.34951331,293.3671302,301.2183519,28.06835193
41,G3_AL,15,Grac,Ambient,Net Photosynthesis,0.229103766,6.040249156,4.822806413,306.6905321,302.4109236,29.2609236
42,G3_ND,2,Grac,Enriched,Respiration,0.193212754,50.1081856,3.589212344,315.5282222,314.579813,41.429813
43,G4_AD,8,Grac,Ambient,Respiration,1.074733107,1.492866329,4.34687333,295.4891534,300.3264887,27.17648869
44,G4_NL,5,Grac,Enriched,Net Photosynthesis,0.719210403,5.092057994,4.49603019,303.126331,300.3444522,27.19445225
45,G5_AD,8,Grac,Ambient,Respiration,1.258642815,1.531072373,4.562930535,294.1375514,301.7859155,28.63591554
46,G5_AL,15,Grac,Ambient,Net Photosynthesis,0.273923984,4.8551344,5.172388722,303.380923,298.8466347,25.69663474
47,G5_NL,5,Grac,Enriched,Net Photosynthesis,0.694984685,5.412562852,4.925421029,303.1622199,300.3846663,27.2346663
48,G6_AL,15,Grac,Ambient,Net Photosynthesis,0.371630697,4.940349672,5.156617935,303.1841904,299.212714,26.06271404
49,G6_ND,2,Grac,Enriched,Respiration,0.181921333,59.60104803,3.826466394,315.1599813,314.3305901,41.18059012
50,G6_NL,5,Grac,Enriched,Net Photosynthesis,0.619920442,6.153539526,5.24031202,304.7420685,301.9207338,28.77073382
51,G7_AL,15,Grac,Ambient,Net Photosynthesis,0.062302026,5.631934084,4.964744044,306.5543648,300.2251558,27.07515583
52,G7_ND,2,Grac,Enriched,Respiration,0.135420875,33.74196116,3.679793906,314.8678769,313.477459,40.32745901
53,G7_NL,5,Grac,Enriched,Net Photosynthesis,0.5628587,5.04228915,4.822314383,303.5312493,300.2990934,27.14909337
54,G8_AD,8,Grac,Ambient,Respiration,1.474585304,1.594918016,4.698570808,290.9015077,302.8324886,29.68248856
55,G8_AL,15,Grac,Ambient,Net Photosynthesis,0.122537225,6.58275201,5.163815414,307.2034399,302.3803765,29.23037653
56,G9_AD,8,Grac,Ambient,Respiration,1.399884748,1.909662688,4.584469773,294.2598327,298.2618013,25.1118013
57,G9_AL,15,Grac,Ambient,Net Photosynthesis,0.063515633,6.065574684,5.252898732,306.7001781,300.7378956,27.58789559
58,G9_ND,2,Grac,Enriched,Respiration,0.211953185,54.28261931,3.627472474,315.3114872,314.4389896,41.28898962
59,G9_NL,5,Grac,Enriched,Net Photosynthesis,0.578514804,5.136999891,5.026800671,302.9346241,299.788825,26.63882501
60,P10_AD,16,Pad,Ambient,Respiration,0.102663128,5.072550279,3.359504045,314.0488943,307.6783982,34.5283982
61,P10_AL,13,Pad,Ambient,Net Photosynthesis,0.087281675,5.638489993,4.618353722,307.0205238,301.1507802,28.0007802
62,P10_ND,6,Pad,Enriched,Respiration,0.329509841,4.839516968,3.535517346,313.2488627,308.7417114,35.5917114
63,P10_NL,3,Pad,Enriched,Net Photosynthesis,0.291515347,7.240212108,5.380884188,307.0908376,303.5711088,30.4211088
64,P1_AD,16,Pad,Ambient,Respiration,0.131998587,4.29306665,3.142878737,315.5945864,308.8412833,35.6912833
65,P1_AL,13,Pad,Ambient,Net Photosynthesis,0.118956301,6.720038453,5.495354945,306.9664917,302.1876564,29.0376564
66,P1_ND,6,Pad,Enriched,Respiration,0.110107827,50.31618773,3.965667402,315.0107476,313.9733586,40.8233586
67,P1_NL,3,Pad,Enriched,Net Photosynthesis,0.410898292,7.405271208,5.474339625,306.7811468,303.706972,30.556972
68,P2_AD,16,Pad,Ambient,Respiration,0.214982121,54.06268604,3.498115848,315.3526164,314.47924,41.32924
69,P2_AL,13,Pad,Ambient,Net Photosynthesis,0.152264641,6.41460993,5.211670403,306.8683028,302.2360564,29.0860564
70,P2_NL,3,Pad,Enriched,Net Photosynthesis,0.341722072,7.609826096,5.473150272,307.5976508,304.3555379,31.2055379
71,P3_AD,16,Pad,Ambient,Respiration,0.185536437,4.393304494,3.451927458,315.5527192,309.5699646,36.4199646
72,P3_AL,13,Pad,Ambient,Net Photosynthesis,0.211670495,5.864717307,4.852960597,306.4954083,302.0259682,28.8759682
73,P3_ND,6,Pad,Enriched,Respiration,0.165610877,3.57330197,3.877342493,314.7906436,307.7238286,34.5738286
74,P3_NL,3,Pad,Enriched,Net Photosynthesis,0.259696634,7.16451674,5.461980692,307.0170383,303.341261,30.191261
75,P4_AD,16,Pad,Ambient,Respiration,0.097154273,6.554373919,3.109902716,315.8354233,310.424198,37.274198
76,P4_AL,13,Pad,Ambient,Net Photosynthesis,0.218424661,5.956111331,4.841064516,306.594378,302.2115846,29.0615846
77,P4_ND,6,Pad,Enriched,Respiration,0.186654444,7.201599678,3.756925205,313.1267976,308.9277784,35.7777784
78,P4_NL,3,Pad,Enriched,Net Photosynthesis,0.177005094,7.851619242,5.431430992,308.9688126,305.0681118,31.9181118
79,P5_AD,16,Pad,Ambient,Respiration,0.077413704,7.74905691,3.337035917,315.4206777,310.4147735,37.2647735
80,P5_AL,13,Pad,Ambient,Net Photosynthesis,0.211097249,6.390557732,5.210006648,306.6592965,302.4350905,29.2850905
81,P5_ND,6,Pad,Enriched,Respiration,0.280165903,4.51297097,3.929927778,312.8026152,307.8091212,34.6591212
82,P6_AL,13,Pad,Ambient,Net Photosynthesis,0.144253878,6.411502989,5.031274613,307.1443195,302.4341459,29.2841459
83,P6_ND,6,Pad,Enriched,Respiration,0.228705569,8.770199733,3.994792351,313.2037769,309.7517215,36.6017215
84,P6_NL,3,Pad,Enriched,Net Photosynthesis,0.474121425,8.012904236,5.604312271,307.0371113,304.2570374,31.1070374
85,P7_AD,16,Pad,Ambient,Respiration,0.01708025,69.42226026,3.317687379,315.1440449,314.1226185,40.9726185
86,P7_AL,13,Pad,Ambient,Net Photosynthesis,0.249326683,6.556826157,5.010278739,306.9738392,303.0229825,29.8729825
87,P7_ND,6,Pad,Enriched,Respiration,0.04454376,8.230537821,3.870280324,314.4462651,309.1383368,35.9883368
88,P7_NL,3,Pad,Enriched,Net Photosynthesis,0.372797415,7.976799722,5.71525136,307.1706784,304.1265924,30.9765924
89,P8_AD,16,Pad,Ambient,Respiration,0.01345161,5.925701839,3.815592379,314.0227862,305.5292079,32.3792079
90,P8_ND,6,Pad,Enriched,Respiration,0.080929429,55.93525055,3.982611811,315.0761123,314.0792163,40.9292163
91,P8_NL,3,Pad,Enriched,Net Photosynthesis,0.265328094,7.600235933,5.550579124,307.3071863,303.7924417,30.6424417
92,P9_AL,13,Pad,Ambient,Net Photosynthesis,0.13488137,5.909866049,5.040099801,306.5884035,301.522761,28.372761
93,P9_ND,6,Pad,Enriched,Respiration,0.21876322,9.497080377,3.970510965,312.6375405,309.3479574,36.1979574
94,U10_AD,1,Ulv,Ambient,Respiration,0.36504659,3.604403145,3.242797075,316.0935039,310.9616889,37.81168894
95,U10_AL,7,Ulv,Ambient,Net Photosynthesis,0.091250931,19.12405787,6.637873945,312.0969604,309.769823,36.619823
96,U10_NL,14,Ulv,Enriched,Net Photosynthesis,0.008475146,16.74174121,5.625393528,312.2895582,308.5252681,35.37526808
97,U1_AD,1,Ulv,Ambient,Respiration,0.304568585,65.13154427,3.262455105,315.105444,314.4025825,41.25258251
98,U1_ND,4,Ulv,Enriched,Respiration,0.145884483,2.199691868,3.693270521,318.1146809,307.9617431,34.81174315
99,U1_NL,14,Ulv,Enriched,Net Photosynthesis,0.107423875,14.5178011,6.21355803,311.3611306,308.5665277,35.4165277
100,U2_AD,1,Ulv,Ambient,Respiration,0.506315365,3.990844717,3.242658472,315.0632376,310.9810753,37.83107531
101,U2_AL,7,Ulv,Ambient,Net Photosynthesis,0.176253799,18.09688887,6.388161121,311.9335927,309.8061149,36.65611488
102,U2_NL,14,Ulv,Enriched,Net Photosynthesis,0.069340893,12.5461735,5.802068768,311.1189269,307.703545,34.55354498
103,U4_AL,7,Ulv,Ambient,Net Photosynthesis,0.167329588,18.63786413,6.082967072,312.1745605,310.0686943,36.91869427
104,U5_AD,1,Ulv,Ambient,Respiration,0.378182179,57.84731751,3.185902209,315.2030539,314.4610627,41.31106272
105,U5_AL,7,Ulv,Ambient,Net Photosynthesis,0.070435952,20.72393016,6.833756555,312.2741476,309.986789,36.83678899
106,U5_NL,14,Ulv,Enriched,Net Photosynthesis,0.07637246,15.57604483,6.673654636,311.413477,308.5879315,35.43793146
107,U6_AD,1,Ulv,Ambient,Respiration,0.291684558,57.23742926,3.664361153,315.2207571,314.4334833,41.2834833
108,U6_ND,4,Ulv,Enriched,Respiration,0.160366218,55.28090059,3.861068674,314.8871031,313.9867815,40.83678149
109,U6_NL,14,Ulv,Enriched,Net Photosynthesis,0.018139649,16.22697898,6.17589663,311.9002456,308.4277496,35.27774956
110,U7_AD,1,Ulv,Ambient,Respiration,0.361052438,57.19435174,3.125192841,315.0819587,314.3268468,41.17684678
111,U7_AL,7,Ulv,Ambient,Net Photosynthesis,0.061300158,18.49714032,6.24734505,312.3380704,309.7652318,36.61523179
112,U8_AD,1,Ulv,Ambient,Respiration,0.526490879,70.49847178,2.79863431,315.1242998,314.5317175,41.38171751
113,U8_AL,7,Ulv,Ambient,Net Photosynthesis,0.143067633,17.76108505,6.023631933,312.0887245,309.8298741,36.67987406
114,U8_NL,14,Ulv,Enriched,Net Photosynthesis,0.019649784,15.73823136,6.476663316,311.6378706,308.1223007,34.97230069
115,U9_AD,1,Ulv,Ambient,Respiration,0.327301033,57.05550433,3.701893787,315.2240319,314.4520192,41.30201922
116,U9_AL,7,Ulv,Ambient,Net Photosynthesis,0.054146834,17.83079548,6.604302493,311.9416377,309.2396759,36.08967587
117,U9_NL,14,Ulv,Enriched,Net Photosynthesis,0.023300547,15.82029371,6.526411112,311.6242595,308.2126295,35.06262948
