"","Temp.Cat","Light_Dark","Run","blank.rate"
"321",34,"Light",11,-0.00404454143775573
"322",36,"Light",11,-0.00587496140350864
"323",39,"Light",11,-0.00509882148040643
"324",42,"Light",11,-0.00651029874077292
"325",16,"Light",12,0.000145884519614719
"326",20,"Light",12,1.00571428571073e-05
"327",22,"Light",12,-9.64375234521879e-05
"328",24,"Light",12,-0.000459802177025172
"329",26,"Light",12,-0.000909137460913079
"330",28,"Light",12,-0.00134713373860182
"331",30,"Light",12,-0.00119726330378964
"332",32,"Light",12,-0.00282746712250716
"333",34,"Light",12,-0.00394944765478422
"334",36,"Light",12,-0.00177156702946178
"335",39,"Light",12,-0.00065900350877186
"336",42,"Light",12,-0.00519329367521365
"337",16,"Light",13,-0.000526893844781438
"338",20,"Light",13,-0.00179838128654957
"339",22,"Light",13,-0.00207352421222189
"340",24,"Light",13,-0.00261120332355805
"341",26,"Light",13,-0.00347066666666675
"342",28,"Light",13,-0.00402358606271782
"343",30,"Light",13,-0.00474497250768559
"344",32,"Light",13,-0.00562165146198814
"345",34,"Light",13,-0.00530967851335658
"346",36,"Light",13,-0.0055240368906455
"347",39,"Light",13,-0.00612831679198001
"348",42,"Light",13,-0.0061640790513834
"349",16,"Light",14,-0.00210476625850345
"350",20,"Light",14,-0.00282281959444067
"351",22,"Light",14,-0.00390225482625484
"352",24,"Light",14,-0.00562643227016882
"353",26,"Light",14,-0.00217491071332577
"354",28,"Light",14,-0.00664228630963727
"355",30,"Light",14,-0.00635562471223862
"356",32,"Light",14,-0.00588181522413105
"357",34,"Light",14,-0.00426282783882769
"358",36,"Light",14,-0.00390973937282232
"359",39,"Light",14,-0.00331043551797041
"360",42,"Light",14,-0.00593667451927913
"361",16,"Light",15,-0.000566214163614172
"362",20,"Light",15,-0.00141560645161291
"363",22,"Light",15,-0.0015085960328979
"364",24,"Light",15,-0.00211942857142862
"365",26,"Light",15,-0.00245340988012687
"366",28,"Light",15,-0.00294053333333335
"367",30,"Light",15,-0.00234849523809516
"368",32,"Light",15,-0.00410337230769229
"369",34,"Light",15,-0.006078961038961
"370",36,"Light",15,-0.00473766666666676
"371",39,"Light",15,-0.00681933799533832
"372",42,"Light",15,-0.00442366082630326
"373",16,"Dark",16,-0.000190272955115121
"374",20,"Dark",16,-0.000315029959514152
"375",22,"Dark",16,-0.000930186328400272
"376",24,"Dark",16,-0.00173653743589741
"377",26,"Dark",16,-0.00401100487804876
"378",28,"Dark",16,-0.00472042677942209
"379",30,"Dark",16,-0.00231021920706129
"380",32,"Dark",16,-0.00217156124545593
"381",34,"Dark",16,-0.00336957011980271
"382",36,"Dark",16,-0.0019253888947647
"383",39,"Dark",16,-0.00445365401028559
"384",42,"Dark",16,-0.00486974217288519
