,individual.ID,rate.type,Ambient_Nutrient,Species,E,Eh,lnc,Th,Topt
58,G5_NL,Net Photosynthesis,Nutrient,Grac,0.694984828,5.412561965,4.925421013,303.162219,27.23466557
59,G6_AD,Respiration,Ambient,Grac,0.566055936,1.750302607,3.473293804,313.9218001,37.22966759
60,G6_AL,Net Photosynthesis,Ambient,Grac,0.371630698,4.940348739,5.156617974,303.1841901,26.06271333
61,G6_ND,Respiration,Nutrient,Grac,0.181921332,59.39757313,3.826466396,315.1600155,41.1782823
62,G6_NL,Net Photosynthesis,Nutrient,Grac,0.619920531,6.15353844,5.240312025,304.7420679,28.77073319
63,G7_AL,Net Photosynthesis,Ambient,Grac,0.062302068,5.631932813,4.964744051,306.5543644,27.0751553
64,G7_ND,Respiration,Nutrient,Grac,0.135420875,0.179931542,3.679793906,314.8678769,105.2232893
65,G7_NL,Net Photosynthesis,Nutrient,Grac,0.562858837,5.042288184,4.822314393,303.5312483,27.14909253
66,G8_AD,Respiration,Ambient,Grac,1.474585351,1.594918055,4.698570853,290.9015074,29.68248842
67,G8_AL,Net Photosynthesis,Ambient,Grac,0.122537231,6.582750633,5.163815424,307.2034398,29.23037576
68,G8_ND,Respiration,Nutrient,Grac,28.24381885,28.04958037,21.87597737,288.5398424,NA
69,G9_AD,Respiration,Ambient,Grac,1.399884701,1.909662639,4.58446977,294.2598327,25.11180129
70,G9_AL,Net Photosynthesis,Ambient,Grac,0.063515662,6.065573374,5.25289874,306.7001778,27.58789491
71,G9_ND,Respiration,Nutrient,Grac,0.211953183,53.53489908,3.627472477,315.3137439,41.28129847
72,G9_NL,Net Photosynthesis,Nutrient,Grac,0.578514883,5.13699906,5.026800681,302.9346236,26.63882452
73,P1_AD,Respiration,Ambient,Pad,0.131998591,4.293066474,3.142878735,315.5945864,35.69128315
74,P1_AL,Net Photosynthesis,Ambient,Pad,0.118956334,6.720037197,5.495354934,306.9664915,29.03765588
75,P1_ND,Respiration,Nutrient,Pad,0.110107828,50.28373958,3.965667401,315.0106578,40.82271145
76,P1_NL,Net Photosynthesis,Nutrient,Pad,0.410898314,7.405269951,5.474339647,306.7811465,30.5569714
77,P10_AD,Respiration,Ambient,Pad,0.102663131,5.072550266,3.359504043,314.0488942,34.52839811
78,P10_AL,Net Photosynthesis,Ambient,Pad,0.087281707,5.638488704,4.618353727,307.0205235,28.00077947
79,P10_ND,Respiration,Nutrient,Pad,0.329509842,4.839516896,3.535517347,313.2488627,35.59171141
80,P10_NL,Net Photosynthesis,Nutrient,Pad,0.291515349,7.240210827,5.380884204,307.0908375,30.42110832
81,P2_AD,Respiration,Ambient,Pad,0.214982122,53.52009574,3.498115846,315.3546718,41.32406748
82,P2_AL,Net Photosynthesis,Ambient,Pad,0.152264681,6.414608588,5.211670394,306.8683026,29.08605582
83,P2_NL,Net Photosynthesis,Nutrient,Pad,0.341722119,7.609824749,5.473150256,307.5976503,31.20553718
84,P3_AD,Respiration,Ambient,Pad,0.185536437,4.393304426,3.451927459,315.5527193,36.41996465
85,P3_AL,Net Photosynthesis,Ambient,Pad,0.211670538,5.864716063,4.852960597,306.4954079,28.87596742
86,P3_ND,Respiration,Nutrient,Pad,0.165610876,3.573301929,3.877342494,314.7906437,34.57382865
87,P3_NL,Net Photosynthesis,Nutrient,Pad,0.259696643,7.164515412,5.461980695,307.0170382,30.1912605
88,P4_AD,Respiration,Ambient,Pad,0.097154272,6.554373993,3.109902717,315.8354234,37.27419812
89,P4_AL,Net Photosynthesis,Ambient,Pad,0.218424692,5.956110075,4.841064507,306.5943777,29.06158387
90,P4_ND,Respiration,Nutrient,Pad,0.186654446,7.201599668,3.756925204,313.1267976,35.77777841
91,P4_NL,Net Photosynthesis,Nutrient,Pad,0.177005195,7.851617105,5.431430968,308.9688117,31.91811075
92,P5_AD,Respiration,Ambient,Pad,0.077413701,7.749057026,3.337035919,315.4206777,37.26477352
93,P5_AL,Net Photosynthesis,Ambient,Pad,0.211097264,6.39055644,5.210006653,306.6592962,29.28508968
94,P5_ND,Respiration,Nutrient,Pad,0.280165903,4.512971004,3.929927777,312.8026152,34.65912126
95,P6_AL,Net Photosynthesis,Ambient,Pad,0.1442539,6.411501837,5.031274617,307.1443194,29.28414539
96,P6_ND,Respiration,Nutrient,Pad,0.228705572,8.770199693,3.994792348,313.2037769,36.6017215
97,P6_NL,Net Photosynthesis,Nutrient,Pad,0.474121423,8.012903021,5.60431228,307.0371112,31.10703701
98,P7_AD,Respiration,Ambient,Pad,0.017080287,69.70207519,3.317687342,315.1440687,40.97623862
99,P7_AL,Net Photosynthesis,Ambient,Pad,0.249326724,6.55682476,5.010278725,306.9738389,29.87298189
100,P7_ND,Respiration,Nutrient,Pad,0.044543763,8.230537679,3.870280323,314.4462651,35.98833677
101,P7_NL,Net Photosynthesis,Nutrient,Pad,0.372797421,7.976798336,5.715251364,307.1706782,30.97659186
102,P8_AD,Respiration,Ambient,Pad,0.013451611,5.925701722,3.815592382,314.0227862,32.37920791
103,P8_ND,Respiration,Nutrient,Pad,0.080929412,56.00783996,3.982611828,315.0762079,40.93040208
104,P8_NL,Net Photosynthesis,Nutrient,Pad,0.265328124,7.600234589,5.550579119,307.3071861,30.64244117
105,P9_AD,Respiration,Ambient,Pad,5.284290012,5.405791623,7.262644373,288.7880456,20.74373456
106,P9_AL,Net Photosynthesis,Ambient,Pad,0.134881393,5.909864859,5.040099803,306.5884033,28.3727603
107,P9_ND,Respiration,Nutrient,Pad,0.218763221,9.49708031,3.970510964,312.6375404,36.19795732
108,U1_AD,Respiration,Ambient,Ulv,0.304568587,71.29109263,3.262455104,315.1092929,41.30616639
109,U1_ND,Respiration,Nutrient,Ulv,0.195345232,0.274540356,4.273885167,302.8342335,58.12290689
110,U1_NL,Net Photosynthesis,Nutrient,Ulv,0.10742388,14.51779826,6.213558029,311.3611304,35.4165271
111,U10_AD,Respiration,Ambient,Ulv,0.365046582,3.604403248,3.24279708,316.0935039,37.81168895
112,U10_AL,Net Photosynthesis,Ambient,Ulv,0.091250928,19.12405505,6.637873948,312.0969604,36.6198227
113,U10_ND,Respiration,Nutrient,Ulv,0.207742842,2.97E-08,3.818313482,307.9256638,NA
114,U10_NL,Net Photosynthesis,Nutrient,Ulv,0.00847515,16.74173844,5.625393523,312.2895582,35.37526778
115,U2_AD,Respiration,Ambient,Ulv,0.50631536,3.990844888,3.242658474,315.0632377,37.83107545
116,U2_AL,Net Photosynthesis,Ambient,Ulv,0.176253799,18.09688604,6.388161122,311.9335927,36.65611462
117,U2_ND,Respiration,Nutrient,Ulv,0.197940172,4.45E-08,3.811436801,298.7879637,NA
118,U2_NL,Net Photosynthesis,Nutrient,Ulv,0.069340904,12.54617065,5.802068766,311.1189267,34.55354427
119,U3_AD,Respiration,Ambient,Ulv,0.71173109,1.464377555,3.326041347,301.9160373,28.46641655
120,U3_AL,Net Photosynthesis,Ambient,Ulv,0.164254,12.78801607,6.570418431,310.5194702,34.57284221
121,U3_ND,Respiration,Nutrient,Ulv,0,0.003835022,4.239885684,300.4179769,-273.15
122,U4_AL,Net Photosynthesis,Ambient,Ulv,0.16732959,18.6378613,6.08296707,312.1745605,36.91869403
123,U4_ND,Respiration,Nutrient,Ulv,0.195353628,9.68E-09,3.669082613,310.8503851,NA
124,U4_NL,Net Photosynthesis,Nutrient,Ulv,0.128303958,18.72342158,6.3629278,312.1103003,36.74442003
125,U5_AD,Respiration,Ambient,Ulv,0.378182185,58.75259736,3.185902203,315.2022363,41.31938753
126,U5_AL,Net Photosynthesis,Ambient,Ulv,0.070435952,20.72392737,6.833756556,312.2741476,36.83678874
127,U5_ND,Respiration,Nutrient,Ulv,0.189439439,5.65E-09,4.458175487,309.5465155,NA
128,U5_NL,Net Photosynthesis,Nutrient,Ulv,0.076372464,15.57604199,6.673654634,311.4134769,35.43793098
129,U6_AD,Respiration,Ambient,Ulv,0.291684558,56.31714755,3.664361152,315.2219136,41.27426711
130,U6_AL,Net Photosynthesis,Ambient,Ulv,0.285042697,4.92265038,6.64650171,308.7971589,31.05886749
131,U6_ND,Respiration,Nutrient,Ulv,0.160366226,52.47422962,3.861068668,314.8730566,40.78326991
132,U6_NL,Net Photosynthesis,Nutrient,Ulv,0.018139644,16.2269762,6.175896634,311.9002456,35.27774892
133,U7_AD,Respiration,Ambient,Ulv,0.361052429,57.57827652,3.12519285,315.0824123,41.18132535
134,U7_AL,Net Photosynthesis,Ambient,Ulv,0.061300164,18.49714029,6.247345045,312.3380704,36.61523183
135,U7_ND,Respiration,Nutrient,Ulv,0,23.57951358,3.325806696,314.9829228,-273.15
136,U7_NL,Net Photosynthesis,Nutrient,Ulv,0.071915743,19.01292759,6.316747723,312.2447686,36.6503793
137,U8_AD,Respiration,Ambient,Ulv,0.526490881,69.31844199,2.798634309,315.1238625,41.37330572
138,U8_AL,Net Photosynthesis,Ambient,Ulv,0.143067634,17.76108219,6.023631933,312.0887245,36.67987378
139,U8_ND,Respiration,Nutrient,Ulv,29.20546216,29.01304389,18.94974347,289.2780588,NA
140,U8_NL,Net Photosynthesis,Nutrient,Ulv,0.019649783,15.73822854,6.476663318,311.6378705,34.97230003
141,U9_AD,Respiration,Ambient,Ulv,0.327301032,56.12491689,3.701893789,315.2252597,41.29298407
142,U9_AL,Net Photosynthesis,Ambient,Ulv,0.054146835,17.8307926,6.604302492,311.9416376,36.08967542
143,U9_NL,Net Photosynthesis,Nutrient,Ulv,0.023300549,15.82029088,6.52641111,311.6242594,35.06262891
