"","ID","Intercept","umol.L.sec","Temp.C"
"1","C1_AD_16C_O2",264.017201292517,-0.000858945578231384,16.1336909090909
"2","C1_AD_20C_O2",286.525420065681,-0.00124075533661719,19.67665625
"3","C1_AD_22C_O2",280.785477845118,-0.0028492736892738,21.8688
"4","C1_AD_24C_O2",270.913794803852,-0.00278359877848244,23.8875098039216
"5","C1_AD_26C_O2",263.751164892473,-0.00485642473118272,25.7962058823529
"6","C1_AD_28C_O2",255.712361419314,-0.00490670143828042,27.8891020408163
"7","C1_AD_30C_O2",236.021877208539,-0.00623385878489312,29.8208064516129
"8","C1_AD_32C_O2",228.754562495895,-0.00830633825944177,31.83545
"9","C1_AD_34C_O2",221.587011351909,-0.013184038527692,33.8495384615385
"10","C1_AD_36C_O2",214.14465865339,-0.0107084400189663,35.9325833333333
"11","C1_AD_39C_O2",178.66936043956,-0.0166296703296702,38.887
"12","C1_AD_42C_O2",145.941323847167,-0.0171262187088274,42.0138518518519
"13","C1_AL_16C_O2",243.741274463482,0.00552952925856444,16.2284929577465
"14","C1_AL_20C_O2",254.169796638655,0.00691932773109259,20.0970980392157
"15","C1_AL_22C_O2",249.693224608934,0.00888013223673596,21.8790862068966
"16","C1_AL_24C_O2",247.019400036474,0.0102818762081919,23.9040980392157
"17","C1_AL_26C_O2",242.728315401115,0.00933539253539271,25.8271
"18","C1_AL_28C_O2",238.811740550469,0.0108639386327418,27.9330416666667
"19","C1_AL_30C_O2",224.341231984295,0.00999815765629732,29.94994
"20","C1_AL_32C_O2",223.977146153846,0.00954615384615369,31.6502142857143
"21","C1_AL_34C_O2",208.752760512821,0.00774717948717946,33.7526571428571
"22","C1_AL_36C_O2",189.699944729689,-5.37601932949924e-05,35.9410172413793
"23","C1_AL_39C_O2",167.455130909091,-0.00990363636363635,38.7430769230769
"24","C1_AL_42C_O2",136.807002380952,-0.0107880952380949,41.7569
"25","C1_ND_16C_O2",288.918784606972,-0.00171881749829129,16.048625
"26","C1_ND_20C_O2",277.761248431716,-0.00259822715760763,19.8877258064516
"27","C1_ND_22C_O2",268.52897920444,-0.00383470860314521,21.9024736842105
