,individual.ID,Run,Species,Ambient_Nutrient,rate.type,E,Eh,lnc,Th,Topt,Estimate term value
57,G5_NL,5,Grac,Enriched,Net Photosynthesis,0.694984685,5.412562852,4.925421029,303.1622199,300.3846663,
58,G6_AD,8,Grac,Ambient,Respiration,0.566055928,1.750302651,3.473293804,313.9218003,310.3796676,
59,G6_AL,15,Grac,Ambient,Net Photosynthesis,0.371630697,4.940349672,5.156617935,303.1841904,299.212714,
60,G6_ND,2,Grac,Enriched,Respiration,0.181921333,59.60104803,3.826466394,315.1599813,314.3305901,
61,G6_NL,5,Grac,Enriched,Net Photosynthesis,0.619920442,6.153539526,5.24031202,304.7420685,301.9207338,
62,G7_AL,15,Grac,Ambient,Net Photosynthesis,0.062302026,5.631934084,4.964744044,306.5543648,300.2251558,
64,G7_NL,5,Grac,Enriched,Net Photosynthesis,0.5628587,5.04228915,4.822314383,303.5312493,300.2990934,
65,G8_AD,8,Grac,Ambient,Respiration,1.474585304,1.594918016,4.698570808,290.9015077,302.8324886,
66,G8_AL,15,Grac,Ambient,Net Photosynthesis,0.122537225,6.58275201,5.163815414,307.2034399,302.3803765,
68,G9_AD,8,Grac,Ambient,Respiration,1.399884748,1.909662688,4.584469773,294.2598327,298.2618013,
69,G9_AL,15,Grac,Ambient,Net Photosynthesis,0.063515633,6.065574684,5.252898732,306.7001781,300.7378956,
70,G9_ND,2,Grac,Enriched,Respiration,0.211953185,54.28261931,3.627472474,315.3114872,314.4389896,
71,G9_NL,5,Grac,Enriched,Net Photosynthesis,0.578514804,5.136999891,5.026800671,302.9346241,299.788825,
72,P10_AD,16,Pad,Ambient,Respiration,0.102663128,5.072550279,3.359504045,314.0488943,307.6783982,
73,P10_AL,13,Pad,Ambient,Net Photosynthesis,0.087281675,5.638489993,4.618353722,307.0205238,301.1507802,
74,P10_ND,6,Pad,Enriched,Respiration,0.329509841,4.839516968,3.535517346,313.2488627,308.7417114,
75,P10_NL,3,Pad,Enriched,Net Photosynthesis,0.291515347,7.240212108,5.380884188,307.0908376,303.5711088,
76,P1_AD,16,Pad,Ambient,Respiration,0.131998587,4.29306665,3.142878737,315.5945864,308.8412833,
77,P1_AL,13,Pad,Ambient,Net Photosynthesis,0.118956301,6.720038453,5.495354945,306.9664917,302.1876564,
79,P1_NL,3,Pad,Enriched,Net Photosynthesis,0.410898292,7.405271208,5.474339625,306.7811468,303.706972,
81,P2_AL,13,Pad,Ambient,Net Photosynthesis,0.152264641,6.41460993,5.211670403,306.8683028,302.2360564,
82,P2_NL,3,Pad,Enriched,Net Photosynthesis,0.341722072,7.609826096,5.473150272,307.5976508,304.3555379,
83,P3_AD,16,Pad,Ambient,Respiration,0.185536437,4.393304494,3.451927458,315.5527192,309.5699646,
84,P3_AL,13,Pad,Ambient,Net Photosynthesis,0.211670495,5.864717307,4.852960597,306.4954083,302.0259682,
85,P3_ND,6,Pad,Enriched,Respiration,0.165610877,3.57330197,3.877342493,314.7906436,307.7238286,
86,P3_NL,3,Pad,Enriched,Net Photosynthesis,0.259696634,7.16451674,5.461980692,307.0170383,303.341261,
87,P4_AD,16,Pad,Ambient,Respiration,0.097154273,6.554373919,3.109902716,315.8354233,310.424198,
88,P4_AL,13,Pad,Ambient,Net Photosynthesis,0.218424661,5.956111331,4.841064516,306.594378,302.2115846,
89,P4_ND,6,Pad,Enriched,Respiration,0.186654444,7.201599678,3.756925205,313.1267976,308.9277784,
90,P4_NL,3,Pad,Enriched,Net Photosynthesis,0.177005094,7.851619242,5.431430992,308.9688126,305.0681118,
91,P5_AD,16,Pad,Ambient,Respiration,0.077413704,7.74905691,3.337035917,315.4206777,310.4147735,
92,P5_AL,13,Pad,Ambient,Net Photosynthesis,0.211097249,6.390557732,5.210006648,306.6592965,302.4350905,
93,P5_ND,6,Pad,Enriched,Respiration,0.280165903,4.51297097,3.929927778,312.8026152,307.8091212,
94,P6_AL,13,Pad,Ambient,Net Photosynthesis,0.144253878,6.411502989,5.031274613,307.1443195,302.4341459,
95,P6_ND,6,Pad,Enriched,Respiration,0.228705569,8.770199733,3.994792351,313.2037769,309.7517215,
96,P6_NL,3,Pad,Enriched,Net Photosynthesis,0.474121425,8.012904236,5.604312271,307.0371113,304.2570374,
98,P7_AL,13,Pad,Ambient,Net Photosynthesis,0.249326683,6.556826157,5.010278739,306.9738392,303.0229825,
99,P7_ND,6,Pad,Enriched,Respiration,0.04454376,8.230537821,3.870280324,314.4462651,309.1383368,
100,P7_NL,3,Pad,Enriched,Net Photosynthesis,0.372797415,7.976799722,5.71525136,307.1706784,304.1265924,
101,P8_AD,16,Pad,Ambient,Respiration,0.01345161,5.925701839,3.815592379,314.0227862,305.5292079,
103,P8_NL,3,Pad,Enriched,Net Photosynthesis,0.265328094,7.600235933,5.550579124,307.3071863,303.7924417,
104,P9_AD,16,Pad,Ambient,Respiration,5.284287942,5.405789562,7.262643166,288.7880455,293.8937358,
105,P9_AL,13,Pad,Ambient,Net Photosynthesis,0.13488137,5.909866049,5.040099801,306.5884035,301.522761,
106,P9_ND,6,Pad,Enriched,Respiration,0.21876322,9.497080377,3.970510965,312.6375405,309.3479574,
107,U10_AD,1,Ulv,Ambient,Respiration,0.36504659,3.604403145,3.242797075,316.0935039,310.9616889,
108,U10_AL,7,Ulv,Ambient,Net Photosynthesis,0.091250931,19.12405787,6.637873945,312.0969604,309.769823,
109,U10_ND,4,Ulv,Enriched,Respiration,0.207742862,7.89E-08,3.818313482,300.1654188,300.1654188,Th used
110,U10_NL,14,Ulv,Enriched,Net Photosynthesis,0.008475146,16.74174121,5.625393528,312.2895582,308.5252681,
111,U1_AD,1,Ulv,Ambient,Respiration,0.304568585,65.13154427,3.262455105,315.105444,314.4025825,
112,U1_ND,4,Ulv,Enriched,Respiration,0.145884483,2.199691868,3.693270521,318.1146809,307.9617431,
113,U1_NL,14,Ulv,Enriched,Net Photosynthesis,0.107423875,14.5178011,6.21355803,311.3611306,308.5665277,
114,U2_AD,1,Ulv,Ambient,Respiration,0.506315365,3.990844717,3.242658472,315.0632376,310.9810753,
115,U2_AL,7,Ulv,Ambient,Net Photosynthesis,0.176253799,18.09688887,6.388161121,311.9335927,309.8061149,
116,U2_ND,4,Ulv,Enriched,Respiration,0.197940173,3.75E-08,3.811436757,316.0877869,316.0877869,Th used
118,U3_AD,1,Ulv,Ambient,Respiration,0.71173115,1.464377581,3.326041368,301.9160365,301.6164165,
120,U3_ND,4,Ulv,Enriched,Respiration,0,0.003690344,4.258079513,239.997273,239.997273,Th used
121,U4_AL,7,Ulv,Ambient,Net Photosynthesis,0.167329588,18.63786413,6.082967072,312.1745605,310.0686943,
122,U4_ND,4,Ulv,Enriched,Respiration,0.195353653,4.97E-08,3.669082597,301.3382583,301.3382583,Th used
123,U4_NL,14,Ulv,Enriched,Net Photosynthesis,0.128303956,18.72342439,6.362927801,312.1103003,309.8944203,
124,U5_AD,1,Ulv,Ambient,Respiration,0.378182179,57.84731751,3.185902209,315.2030539,314.4610627,
125,U5_AL,7,Ulv,Ambient,Net Photosynthesis,0.070435952,20.72393016,6.833756555,312.2741476,309.986789,
126,U5_ND,4,Ulv,Enriched,Respiration,0.18943947,6.23E-08,4.45817546,301.3405323,301.3405323,Th used
127,U5_NL,14,Ulv,Enriched,Net Photosynthesis,0.07637246,15.57604483,6.673654636,311.413477,308.5879315,
128,U6_AD,1,Ulv,Ambient,Respiration,0.291684558,57.23742926,3.664361153,315.2207571,314.4334833,
131,U6_NL,14,Ulv,Enriched,Net Photosynthesis,0.018139649,16.22697898,6.17589663,311.9002456,308.4277496,
132,U7_AD,1,Ulv,Ambient,Respiration,0.361052438,57.19435174,3.125192841,315.0819587,314.3268468,
133,U7_AL,7,Ulv,Ambient,Net Photosynthesis,0.061300158,18.49714032,6.24734505,312.3380704,309.7652318,
134,U7_ND,4,Ulv,Enriched,Respiration,0,35.51963087,3.325564532,315.0388702,314.0176323,0.115515784
135,U7_NL,14,Ulv,Enriched,Net Photosynthesis,0.071915745,19.01293042,6.316747721,312.2447686,309.8003796,
137,U8_AL,7,Ulv,Ambient,Net Photosynthesis,0.143067633,17.76108505,6.023631933,312.0887245,309.8298741,
138,U8_ND,4,Ulv,Enriched,Respiration,29.07018252,28.87776425,18.87203552,289.278659,288.1261074,0.115515784
139,U8_NL,14,Ulv,Enriched,Net Photosynthesis,0.019649784,15.73823136,6.476663316,311.6378706,308.1223007,
140,U9_AD,1,Ulv,Ambient,Respiration,0.327301033,57.05550433,3.701893787,315.2240319,314.4520192,
141,U9_AL,7,Ulv,Ambient,Net Photosynthesis,0.054146834,17.83079548,6.604302493,311.9416377,309.2396759,
142,U9_NL,14,Ulv,Enriched,Net Photosynthesis,0.023300547,15.82029371,6.526411112,311.6242595,308.2126295,
